Cuts: [Q2>1.0; 0.003<x<0.9; 0.1<y<0.9; W^2>10.0; z>0.2; p_T>0.1]
z > 0.2; h^+: x-dependence
<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.006	-0.0081	0.0058	0.006	0.68	0.36	0.54	14.20	1.27
0.011	0.0000	0.0030	0.011	0.48	0.37	0.53	11.87	1.57
0.018	0.0008	0.0026	0.018	0.36	0.37	0.52	10.05	1.88
0.028	0.0007	0.0022	0.028	0.27	0.37	0.50	8.58	2.23
0.044	0.0028	0.0024	0.044	0.23	0.37	0.50	7.91	3.04
0.073	0.0037	0.0025	0.073	0.23	0.37	0.50	7.72	5.01
0.120	-0.0015	0.0036	0.120	0.22	0.37	0.50	7.41	7.90
0.175	0.0034	0.0041	0.175	0.22	0.37	0.49	7.10	11.29
0.250	0.0070	0.0056	0.250	0.22	0.38	0.50	6.76	16.18
0.377	0.0063	0.0064	0.377	0.22	0.38	0.53	6.18	24.35
0.638	0.0211	0.0184	0.638	0.21	0.41	0.78	4.73	41.04
								
z > 0.2; h^+: z-dependence
0.22	-0.0030	0.0020	0.051	0.33	0.22	0.46	9.30	3.87
0.27	0.0003	0.0023	0.052	0.32	0.27	0.48	9.20	3.91
0.32	-0.0006	0.0027	0.054	0.31	0.32	0.50	9.12	3.93
0.37	-0.0010	0.0031	0.054	0.31	0.37	0.52	9.06	3.95
0.42	0.0016	0.0035	0.055	0.31	0.42	0.54	9.01	3.95
0.47	0.0024	0.0041	0.055	0.31	0.47	0.56	8.97	3.94
0.55	0.0018	0.0035	0.056	0.30	0.55	0.58	8.91	3.91
0.65	0.0142	0.0044	0.056	0.30	0.65	0.60	8.85	3.84
0.75	0.0178	0.0056	0.054	0.29	0.75	0.59	8.81	3.66
0.88	0.0291	0.0057	0.050	0.29	0.88	0.51	8.71	3.28

z > 0.2; h^+: pt-dependence
0.15	0.0087	0.0030	0.054	0.30	0.36	0.15	8.94	3.69
0.25	0.0041	0.0025	0.054	0.30	0.36	0.25	8.87	3.70
0.35	0.0054	0.0024	0.053	0.30	0.36	0.35	8.92	3.70
0.45	0.0022	0.0025	0.054	0.30	0.36	0.45	8.97	3.80
0.55	-0.0013	0.0028	0.053	0.31	0.37	0.55	9.06	3.88
0.65	-0.0003	0.0032	0.053	0.32	0.38	0.65	9.17	3.95
0.75	-0.0036	0.0038	0.052	0.33	0.39	0.75	9.29	4.03
0.89	-0.0067	0.0036	0.052	0.34	0.41	0.89	9.49	4.16
1.12	0.0003	0.0048	0.051	0.36	0.43	1.12	9.87	4.45
1.58	-0.0125	0.0073	0.053	0.42	0.44	1.58	10.68	5.27

z > 0.2; h^-: x-dependence
0.006	-0.0093	0.0060	0.006	0.68	0.37	0.52	14.26	1.27
0.011	0.0046	0.0032	0.011	0.49	0.36	0.52	11.92	1.58
0.018	-0.0062	0.0028	0.018	0.36	0.36	0.51	10.11	1.90
0.028	-0.0012	0.0025	0.028	0.27	0.37	0.49	8.64	2.26
0.044	-0.0060	0.0027	0.044	0.24	0.36	0.49	7.96	3.08
0.073	-0.0004	0.0029	0.073	0.23	0.36	0.49	7.75	5.03
0.119	-0.0060	0.0045	0.119	0.22	0.35	0.49	7.43	7.93
0.174	-0.0179	0.0052	0.174	0.22	0.35	0.49	7.12	11.30
0.250	-0.0208	0.0072	0.250	0.22	0.35	0.49	6.77	16.15
0.377	-0.0233	0.0084	0.377	0.22	0.35	0.52	6.18	24.30
0.639	0.0117	0.0239	0.639	0.21	0.37	0.77	4.70	40.79

z > 0.2; h^-: z-dependence
0.22	-0.0005	0.0021	0.048	0.34	0.22	0.46	9.45	3.72
0.27	-0.0030	0.0026	0.049	0.33	0.27	0.48	9.38	3.70
0.32	0.0015	0.0030	0.049	0.33	0.32	0.50	9.34	3.66
0.37	-0.0065	0.0036	0.049	0.33	0.37	0.52	9.31	3.61
0.42	-0.0089	0.0042	0.048	0.33	0.42	0.54	9.29	3.54
0.47	-0.0002	0.0048	0.047	0.32	0.47	0.55	9.28	3.47
0.55	-0.0143	0.0042	0.046	0.32	0.55	0.57	9.28	3.37
0.65	-0.0114	0.0054	0.045	0.32	0.65	0.57	9.26	3.20
0.75	-0.0205	0.0068	0.042	0.32	0.75	0.54	9.23	2.97
0.88	-0.0127	0.0068	0.039	0.31	0.88	0.45	9.08	2.64

z > 0.2; h^-: pt-dependence
0.15	-0.0038	0.0034	0.048	0.32	0.36	0.15	9.23	3.38
0.25	-0.0045	0.0028	0.048	0.31	0.35	0.25	9.11	3.39
0.35	-0.0026	0.0027	0.047	0.32	0.35	0.35	9.16	3.40
0.45	-0.0051	0.0029	0.048	0.32	0.35	0.45	9.22	3.51
0.55	-0.0027	0.0032	0.048	0.33	0.35	0.55	9.31	3.61
0.65	-0.0051	0.0037	0.048	0.33	0.36	0.65	9.42	3.68
0.75	0.0016	0.0044	0.047	0.34	0.37	0.75	9.55	3.76
0.89	-0.0107	0.0042	0.047	0.35	0.39	0.89	9.74	3.88
1.12	-0.0088	0.0057	0.045	0.38	0.41	1.12	10.12	4.08
1.58	-0.0027	0.0087	0.045	0.43	0.42	1.58	10.88	4.62
